a52dec 0.8.0-2
aalib 1.4rc5-18
abseil-cpp 20240722.1-1
accountsservice 23.13.9-2
acl 2.3.2-1
acpi 1.7-4
acpid 2.0.34-2
acpid-runit 20220314-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 47.0-1
adwaita-icon-theme 47.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-firmware 1.2.4-4
alsa-lib 1.2.13-1
alsa-plugins 1:1.2.12-4
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.13-2
amd-ucode 20250109.7673dffd-1
aom 3.11.0-1
appstream 1.0.4-1
argon2 20190702-6
artix-backgrounds 2024.07-1
artix-branding-base 20240823-1
artix-cgroups 0.7.2-1
artix-dark-theme 20240803-1
artix-desktop-presets 20240804-1
artix-grub-theme 2024.07-1
artix-gtk-presets 20240803-1
artix-icons 2024.07-1
artix-keyring 20250105-1
artix-mirrorlist 20250102-1
artix-qt-presets 20240804-1
at-spi2-core 2.54.1-1
atril 1.28.0-3
attr 2.5.2-1
audit 4.0.3-1
autoconf 2.72-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-3
avahi-runit 20180226-3
b43-fwcutter 019-5
base 3-5
base-devel 1-2
bash 5.2.037-1
binutils 2.43_1+r171+g01da089627be-1
bison 3.8.2-8.1
blocaled 0.5-1
bluez 5.79-1
bluez-libs 5.79-1
bluez-runit 20180226-5
breeze-icons 6.10.0-1
brotli 1.1.0-3
btrfs-progs 6.12-2
bubblewrap 0.11.0-1
bzip2 1.0.8-6
ca-certificates 20240618-1
ca-certificates-mozilla 3.107-1
ca-certificates-utils 20240618-1
cairo 1.18.2-2
cairomm-1.16 1.18.0-1
cantarell-fonts 1:0.303.1-2
cdparanoia 10.2-9
chromaprint 1.5.1-9
colord 1.4.7-2
connman 1.43-3
connman-gtk 1.1.1-3
connman-runit 20180314-5
coreutils 9.6-2
cronie 1.7.2-1
cronie-runit 20200613-3
cryptsetup 2.7.5-2
cryptsetup-runit 20220813-1
cups 2:2.4.11-2
cups-filters 2.0.1-2
cups-runit 20180226-3
curl 8.11.1-3
dav1d 1.5.1-1
db5.3 5.3.28-5
dbus 1.16.1-1.4
dbus-glib 0.112-4
dbus-runit 20220314-1
dconf 0.40.0-3
debugedit 5.1-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.30-1
device-mapper-runit 20180429-3
dhclient 4.4.3.P1-4
dhcpcd 10.1.0-1
dhcpcd-runit 20200620-2
diffutils 3.10-1
ding-libs 0.6.2-2
djvulibre 3.5.28-6
dmraid 1.0.0.rc16.3-15
dosfstools 4.2-5
double-conversion 3.3.0-2
duktape 2.7.0-7
e2fsprogs 1.47.2-1
ecryptfs-utils 111-9
efibootmgr 18-3
efivar 39-1
egl-gbm 1.1.2-1
egl-wayland 4:1.1.17-1
egl-x11 1.0.0-1
eglexternalplatform 1.2-2
elementary-icon-theme 8.1.0-1
elogind 255.17-2
elogind-runit 20231119-1
enchant 2.8.2-1
epiphany 47.3.1-1
esysusers 257.2-1
etmpfiles 257.2-1
exfatprogs 1.2.7-1
exo 4.20.0-2
expat 2.6.4-1
f2fs-tools 1.16.0-3
faac 1.30-5
faad2 2.11.1-1
fakeroot 1.37-1
fastfetch 2.35.0-1
ffmpeg 2:7.1-6
ffmpegthumbnailer 2.2.3-3
ffmpegthumbs 24.12.1-1
fftw 3.3.10-7
file 5.46-3
filesystem 2024.11.21-1
findutils 4.10.0-2
firefox 134.0.2-1
flac 1.4.3-2
flex 2.6.4-5
fluidsynth 2.4.3-1
fontconfig 2:2.16.0-2
freeglut 3.6.0-1
freetype2 2.13.3-1
fribidi 1.0.16-1
fuse-common 3.16.2-1
fuse2 2.9.9-5
fuse3 3.16.2-1
garcon 4.20.0-2
gawk 5.3.1-1
gc 8.2.8-2
gcc 14.2.1+r134+gab884fffe3fc-2
gcc-libs 14.2.1+r134+gab884fffe3fc-2
gcr 3.41.2-2
gcr-4 4.3.0-1
gdbm 1.24-1
gdk-pixbuf2 2.42.12-2
gettext 0.23.1-2
ghostscript 10.04.0-1
giflib 5.2.2-1
git 2.48.1-1
glib-networking 1:2.80.1-1
glib2 2.82.4-2
glibc 2.40+r66+g7d4b6bcae91f-1
glibmm-2.68 2.82.0-1
glslang 15.1.0-1
glu 9.0.3-2
gmp 6.3.0-2
gnome-keyring 1:46.2-1
gnome-themes-extra 3.28+r6+g45b1d457-2
gnulib-l10n 20241231-1
gnupg 2.4.7-1
gnutls 3.8.8-1
gobject-introspection-runtime 1.82.0-2
gperftools 2.16-1
gpgme 1.24.1-3
gpm 1.20.7.r38.ge82d1a6-6
graphene 1.10.8-2
graphite 1:1.3.14-4
grep 3.11-1
groff 1.23.0-7
grub 2:2.12-3.2
gsettings-desktop-schemas 47.1-1
gsettings-system-schemas 47.1-1
gsm 1.0.22-2
gspell 1.14.0-1
gssdp 1.6.3-2
gssproxy 0.9.2-1
gst-libav 1.24.12-1
gst-plugins-bad 1.24.12-1
gst-plugins-bad-libs 1.24.12-1
gst-plugins-base 1.24.12-1
gst-plugins-base-libs 1.24.12-1
gst-plugins-good 1.24.12-1
gst-plugins-ugly 1.24.12-1
gstreamer 1.24.12-1
gtest 1.15.2-1
